reviewId,content,sentimentScore
4a4f7438-8a10-4b29-9a3b-1386682c2944,good,4
b05acb53-56b9-4344-a3a3-8a40dad654a9,Its one of the best apps!! But i wish there was a way to sort the tags :<,4
d4edc142-eb26-4f72-a152-21ac98317509,this app helps me to manage my daily routine:smiling_face_with_heart-eyes:,4
f579ee96-adb0-40ce-8dbb-cfadb9c6b271,good Apps :check_mark_button::smiling_face_with_heart-eyes::smiling_face_with_hearts:,4
31fd8fc4-6bc0-48e9-9b71-e1568b76ab75,It is a good app,4
0c2ddbca-482c-412b-9396-b42c55010074,I wish there was a journal writing option along with this app,4
3870fb0e-bcad-425a-a082-024dd6cf13dc,This is one app everyone should have if your already all of the above this one here is still good to have for the support.,4
b68b7b93-9042-43e6-b28f-242a76fa2714,good,4
3e40a5d0-e3ee-4311-a634-b320f06f93a1,Nice app,4
1dc731dd-88b6-45ed-b3c5-74e7fd6e834c,Nice app,4
e4606d4e-039e-4989-b045-c5b44cbf6fce,"I haven't used it yet, but I can tell this would help me with my daily progress for my metal health. just by the questions I had to answer, when I burly began my account. :relieved_face::thumbs_up:",4
1302d4e9-1571-4b9e-a6c7-c7d8e203fbdb,voor good for your health,4
75aa7136-82ab-4821-985a-3c3f20164253,good,4
5f4f6771-7a18-4eb3-b0c3-eac1721efd0f,helps keep me on task so I don't get behind.,4
5873aa59-529a-47cc-9d0f-d7b939da6017,Good app for plane your daily life,4
f1c968bd-c124-496b-aece-64aa4dd949e7,Good,4
919b0dcb-6200-44f5-b5fc-75e5fad38937,good,4
83a613f1-7b6d-4cf5-864c-783c75dff8b9,This app is rare and so far the best I've ever use but the reminderndoesn't work pretty well but I appreciate the app!,4
3b488161-b692-46da-98cc-9339e7b43a1c,good,4
48e47977-79c4-4340-9d7f-74ac62efea9e,"loved the idea, but looking forward to use it before giving my credentials",4
4ae73421-a1a4-4cd2-b27a-403c3a66bd00,like it...,4
cb6456a4-4bbf-4ef1-aad3-4576e189e98b,"this is my first time on this app but I'm loving it, it feels like taking a step to a better life, I think I found my best friend on this app :heart_suit::heart_exclamation::heart_suit:",4
29531a03-63d9-491e-aa81-6b3a304ecc25,Good app to keep daily routine in track,4
28975c1e-f91f-4a20-a9b1-3c14418dd5d0,so far I like it.,4
9444eab3-f0f9-490f-ae72-44fdfe063ca2,nice,4
